Entity,Code,Year,Population - Sex: all - Age: all - Variant: medium,Population - Sex: all - Age: all - Variant: medium
Andorra,AND,2080,66160,60108
Andorra,AND,2081,65784,59410
Andorra,AND,2082,65409,58696
Andorra,AND,2083,65054,57984
Andorra,AND,2084,64706,57317
Andorra,AND,2085,64359,56681
Andorra,AND,2086,64032,56038
Andorra,AND,2087,63707,55376
Andorra,AND,2088,63389,54728
Andorra,AND,2089,63078,54077
Andorra,AND,2090,62788,53435
Andorra,AND,2091,62498,52800
Andorra,AND,2092,62213,52156
Andorra,AND,2093,61940,51503
Andorra,AND,2094,61676,50864
Andorra,AND,2095,61423,50228
Andorra,AND,2096,61170,49604
Andorra,AND,2097,60934,48992
Andorra,AND,2098,60700,48395
Andorra,AND,2099,60477,47810
Andorra,AND,2100,60264,47241
Angola,AGO,2022,35588996,
Angola,AGO,2023,36684212,
Angola,AGO,2024,37804630,37885853
Angola,AGO,2025,38942796,39040033
Angola,AGO,2026,40099524,40215180
Angola,AGO,2027,41274796,41415124
Angola,AGO,2028,42468716,42641682
Angola,AGO,2029,43680936,43891852
Angola,AGO,2030,44911664,45160458
Angola,AGO,2031,46161760,46449968
Angola,AGO,2032,47428250,47759512
Angola,AGO,2033,48710084,49091475
Angola,AGO,2034,50007930,50447456
Angola,AGO,2035,51321970,51821718
Angola,AGO,2036,52652830,53215941
Angola,AGO,2037,53998520,54625866
Angola,AGO,2038,55355640,56053784
Angola,AGO,2039,56723292,57501913
Angola,AGO,2040,58104450,58965325
Angola,AGO,2041,59498480,60441186
Angola,AGO,2042,60898056,61927908
Angola,AGO,2043,62306444,63430877
Angola,AGO,2044,63724816,64945303
Angola,AGO,2045,65146252,66464328
Angola,AGO,2046,66573224,68000596
Angola,AGO,2047,68005910,69554166
Angola,AGO,2048,69442330,71118784
Angola,AGO,2049,70883700,72701388
Angola,AGO,2050,72328070,74295396
Angola,AGO,2051,73774090,75892822
Angola,AGO,2052,75223150,77501971
Angola,AGO,2053,76674296,79123453
Angola,AGO,2054,78126280,80752713
Angola,AGO,2055,79575480,82392216
Angola,AGO,2056,81022760,84032203
Angola,AGO,2057,82473040,85679410
Angola,AGO,2058,83918900,87336040
Angola,AGO,2059,85350760,88991592
Angola,AGO,2060,86772720,90647915
Angola,AGO,2061,88190480,92310986
Angola,AGO,2062,89601400,93969989
Angola,AGO,2063,91008500,95625120
Angola,AGO,2064,92411180,97282776
Angola,AGO,2065,93802040,98933226
Angola,AGO,2066,95186904,100578474
Angola,AGO,2067,96561690,102219410
Angola,AGO,2068,97919780,103858186
Angola,AGO,2069,99270560,105498663
Angola,AGO,2070,100616430,107137079
Angola,AGO,2071,101952664,108767794
Angola,AGO,2072,103272584,110391409
Angola,AGO,2073,104577370,112014392
Angola,AGO,2074,105868750,113630809
Angola,AGO,2075,107147060,115220836
Angola,AGO,2076,108405570,116788429
Angola,AGO,2077,109640640,118356156
Angola,AGO,2078,110862770,119925104
Angola,AGO,2079,112069490,121471111
Angola,AGO,2080,113260744,123012398
Angola,AGO,2081,114437690,124542885
Angola,AGO,2082,115598060,126039003
Angola,AGO,2083,116740340,127515741
Angola,AGO,2084,117861820,128986048
Angola,AGO,2085,118967390,130454010
Angola,AGO,2086,120055710,131908573
Angola,AGO,2087,121119320,133334691
Angola,AGO,2088,122160900,134748100
Angola,AGO,2089,123179840,136163362
Angola,AGO,2090,124173416,137556709
Angola,AGO,2091,125146984,138919844
Angola,AGO,2092,126100600,140249385
Angola,AGO,2093,127033384,141550053
Angola,AGO,2094,127943416,142835152
Angola,AGO,2095,128830070,144102528
Angola,AGO,2096,129694104,145340839
Angola,AGO,2097,130531450,146549583
Angola,AGO,2098,131342270,147743371
Angola,AGO,2099,132131704,148912808
Angola,AGO,2100,132901280,150045578
Anguilla,AIA,2022,15877,
Anguilla,AIA,2023,15921,
Anguilla,AIA,2024,15959,14623
Anguilla,AIA,2025,15988,14750
Anguilla,AIA,2026,16016,14846
Anguilla,AIA,2027,16043,14899
Anguilla,AIA,2028,16057,14939
Anguilla,AIA,2029,16072,14973
Anguilla,AIA,2030,16084,15000
Anguilla,AIA,2031,16080,15026
Anguilla,AIA,2032,16077,15053
Anguilla,AIA,2033,16066,15072
Anguilla,AIA,2034,16055,15084
Anguilla,AIA,2035,16037,15106
Anguilla,AIA,2036,16018,15110
Anguilla,AIA,2037,15998,15099
Anguilla,AIA,2038,15974,15080
Anguilla,AIA,2039,15942,15058
Anguilla,AIA,2040,15902,15039
Anguilla,AIA,2041,15853,15028
Anguilla,AIA,2042,15809,15017
Anguilla,AIA,2043,15766,14999
Anguilla,AIA,2044,15713,14965
Anguilla,AIA,2045,15659,14914
